[03/13 22:44:30.489039][debug][15440][Context.cpp:87] Context destroying ...
[03/13 22:44:30.489751][debug][15440][DeviceManager.cpp:59] DeviceManager destroy ...
[03/13 22:44:30.489806][debug][15440][DeviceManager.cpp:67] DeviceManager Destructors done
[03/13 22:44:30.510531][debug][15440][MfPal.cpp:125] WmfPal destroyed!
[03/13 22:44:30.511364][info][15440][Context.cpp:90] Context destroyed
[03/13 22:45:23.073275][debug][27512][DeviceManager.cpp:112] DeviceManager  createDevice...
[03/13 22:45:23.073685][debug][27512][UsbDeviceEnumerator.cpp:289] UsbDeviceEnumerator createDevice...
[03/13 22:45:23.074274][debug][27512][AstraUvcDevice.cpp:17] AstraUvcDevice init ...
[03/13 22:45:23.074876][debug][27512][AstraUvcDevice.cpp:176] init sensor map start!
[03/13 22:45:23.075143][info][27512][AstraUvcDevice.cpp:193] init sensor map done!
[03/13 22:45:23.075173][debug][27512][AstraUvcDevice.cpp:119] createCommand start!
[03/13 22:45:23.085937][debug][27512][VendorCommand.cpp:198] VendorCommand constructor 12fc9f464f0
[03/13 22:45:23.215320][debug][27512][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1000, dataLen: 164
[03/13 22:45:23.215431][debug][27512][AstraUvcDevice.cpp:172] Command has been created!
[03/13 22:45:23.245456][debug][27512][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1000, dataLen: 164
[03/13 22:45:23.245536][info][27512][AbstractDevice.cpp:124] 	- Firmware version: 1.0.22
[03/13 22:45:23.245874][debug][27512][AstraUvcDevice.cpp:313] Init depth process param start!
[03/13 22:45:23.245920][debug][27512][AstraUvcDevice.cpp:324] Astra+ long-distance version!
[03/13 22:45:23.276163][debug][27512][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1005, dataLen: 16
[03/13 22:45:23.276834][debug][27512][AstraUvcDevice.cpp:359] disparityParam: baseline: 7.466821, zpd: 129.75062561035156, zpps: 0.11178778111934662, bitSize: 12, unit: 10, packMode: 1
[03/13 22:45:23.276880][debug][27512][AstraUvcDevice.cpp:361] softFilterParam: maxSpeckleSize: 960, maxDiff: 16, filterType: 0
[03/13 22:45:23.307623][debug][27512][HostProtocol.cpp:450] get property value success! propertyId=63, cur={intValue: 0, floatValue: 0}, max={intValue: 1, floatValue: 1.4013e-45}, min={intValue: 0, floatValue: 0},def={intValue: 0, floatValue: 0},step={intValue: 1, floatValue: 1.4013e-45}
[03/13 22:45:23.307708][debug][27512][PropertyAccessor.cpp:34] get property value range success! propertyId: 63, range: {max: {intValue: 1, floatValue: 1.4013e-45}, min: {intValue: 0, floatValue: 0}, step: {intValue: 1, floatValue: 1.4013e-45}, def: {intValue: 0, floatValue: 0}}
[03/13 22:45:23.307753][debug][27512][HostProtocol.cpp:417] Set property value, propertyId=63, value={intValue: 0, floatValue: 0}
[03/13 22:45:23.338046][debug][27512][PropertyAccessor.cpp:17] set property value success! propertyId: 63, value: {intValue: 0, floatValue: 0}
[03/13 22:45:23.368752][debug][27512][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1001, dataLen: 136
[03/13 22:45:23.393615][debug][27512][HostProtocol.cpp:417] Set property value, propertyId=63, value={intValue: 1, floatValue: 1.4013e-45}
[03/13 22:45:23.418932][debug][27512][PropertyAccessor.cpp:17] set property value success! propertyId: 63, value: {intValue: 1, floatValue: 1.4013e-45}
[03/13 22:45:23.449544][debug][27512][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1001, dataLen: 136
[03/13 22:45:23.470481][info][27512][AstraUvcDevice.cpp:402] Init depth process param done!
[03/13 22:45:23.470981][info][27512][AstraUvcDevice.cpp:23] Astra device created! PID: 0x0636, SN: BY1N73300A2
[03/13 22:45:23.471009][debug][27512][UsbDeviceEnumerator.cpp:338] Device created successfully! Name: Astra+, PID: 0x0636, SN/ID: BY1N73300A2
[03/13 22:45:23.471033][info][27512][DeviceManager.cpp:157] Device created successfully! Name: Astra+, PID: 0x0636, SN/ID: BY1N73300A2
[03/13 22:45:23.477456][debug][27512][FrameProcessor.cpp:70] FrameProcessor init with 1 blocks! @1304870353872
[03/13 22:45:23.477891][debug][27512][FrameProcessingBlock.cpp:26] Block created with frame queue size: 10
[03/13 22:45:23.478101][debug][27512][FrameProcessor.cpp:78]  - block: FormatConverter, status: disable
[03/13 22:45:23.478614][debug][27512][VideoSensor.cpp:267] VideoSensor construct!
[03/13 22:45:23.479084][debug][27512][VideoSensor.cpp:303] VideoSensor created, @OB_SENSOR_COLOR
[03/13 22:45:23.479237][info][27512][AstraUvcDevice.cpp:276] Color sensor has been created!
[03/13 22:45:23.580453][debug][27512][PropertyAccessor.cpp:17] set property value success! propertyId: 2000, value: {intValue: 1, floatValue: 1.4013e-45}
[03/13 22:45:23.581135][debug][27512][Pipeline.cpp:29] Pipeline init ...
[03/13 22:45:23.581172][debug][27512][Pipeline.cpp:165] loadFrameQueueSizeConfig() config queue size: 10
[03/13 22:45:23.581397][info][27512][Pipeline.cpp:44] Pipeline created with device: {name: Astra+, sn: BY1N73300A2}, @0x12FD0540420
[03/13 22:45:23.585091][debug][27512][VideoSensor.cpp:448] Query stream profile! size= 95, SensorType=OB_SENSOR_COLOR
[03/13 22:45:23.585128][debug][27512][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 640, height: 480, fps: 30}
[03/13 22:48:19.479739][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 10}
[03/13 22:48:19.479752][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 7}
[03/13 22:48:19.479765][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 320, height: 240, fps: 30}
[03/13 22:48:19.479778][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 320, height: 240, fps: 15}
[03/13 22:48:19.479791][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 320, height: 240, fps: 10}
[03/13 22:48:19.479804][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 320, height: 240, fps: 7}
[03/13 22:48:19.479817][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 800, height: 600, fps: 30}
[03/13 22:48:19.479830][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 800, height: 600, fps: 15}
[03/13 22:48:19.479843][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 800, height: 600, fps: 10}
[03/13 22:48:19.479856][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 800, height: 600, fps: 7}
[03/13 22:48:19.479868][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 30}
[03/13 22:48:19.479882][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 15}
[03/13 22:48:19.479896][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 10}
[03/13 22:48:19.479909][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 7}
[03/13 22:48:19.479922][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1920, height: 1080, fps: 30}
[03/13 22:48:19.479935][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1920, height: 1080, fps: 15}
[03/13 22:48:19.479948][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1920, height: 1080, fps: 10}
[03/13 22:48:19.479961][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1920, height: 1080, fps: 7}
[03/13 22:48:19.479974][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 2048, height: 1536, fps: 15}
[03/13 22:48:19.479987][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 640, height: 480, fps: 30}
[03/13 22:48:19.480000][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 640, height: 480, fps: 15}
[03/13 22:48:19.480013][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 640, height: 480, fps: 10}
[03/13 22:48:19.480026][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 640, height: 480, fps: 7}
[03/13 22:48:19.480039][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 320, height: 240, fps: 30}
[03/13 22:48:19.480052][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 320, height: 240, fps: 15}
[03/13 22:48:19.480065][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 320, height: 240, fps: 10}
[03/13 22:48:19.480078][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 320, height: 240, fps: 7}
[03/13 22:48:19.480091][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 800, height: 600, fps: 30}
[03/13 22:48:19.480104][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 800, height: 600, fps: 15}
[03/13 22:48:19.480117][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 800, height: 600, fps: 10}
[03/13 22:48:19.480130][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 800, height: 600, fps: 7}
[03/13 22:48:19.480142][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1280, height: 720, fps: 30}
[03/13 22:48:19.480155][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1280, height: 720, fps: 15}
[03/13 22:48:19.480168][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1280, height: 720, fps: 10}
[03/13 22:48:19.480181][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1280, height: 720, fps: 7}
[03/13 22:48:19.480194][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1920, height: 1080, fps: 30}
[03/13 22:48:19.480207][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1920, height: 1080, fps: 15}
[03/13 22:48:19.480220][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1920, height: 1080, fps: 10}
[03/13 22:48:19.480233][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 1920, height: 1080, fps: 7}
[03/13 22:48:19.480269][debug][13416][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_BGRA, width: 2048, height: 1536, fps: 15}
[03/13 22:48:22.691514][debug][13416][Pipeline.cpp:174] Pipeline start() start!
[03/13 22:48:22.691692][debug][13416][FrameProcessingBlockManager.cpp:75]  FrameProcessingBlockManager started, 0 blocks contained!
[03/13 22:48:22.691711][info][13416][Pipeline.cpp:239] Try to start streams!
[03/13 22:48:22.691758][debug][13416][VideoSensor.cpp:565] VideoSensor::start, @OB_SENSOR_COLOR
[03/13 22:48:22.691797][debug][13416][FrameMemoryPool.cpp:35] FrameMemoryPool created!
[03/13 22:48:22.691862][debug][13416][FrameBufferManager.hpp:65] FrameBufferManager created! frame type:class libobsensor::ColorFrame, obj addr:0x21f65cc1960, frame obj total size:0.879MB
[03/13 22:48:22.691877][debug][13416][FrameMemoryPool.cpp:75] ColorFrame bufferManager created!
[03/13 22:48:22.691918][debug][13416][FrameProcessor.cpp:125] Frame processor active blocks chain update: input ->FormatConverter -> output
[03/13 22:48:22.691932][debug][13416][FrameProcessor.cpp:137] FrameProcessor started, 1 blocks contained!
[03/13 22:48:22.691961][info][13416][VideoSensor.cpp:663] start OB_SENSOR_COLOR stream with profile: {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 30}
[03/13 22:48:22.842234][debug][13416][VideoSensor.cpp:714] Stream state changed to STREAM_STATE_STARTING. @OB_SENSOR_COLOR
[03/13 22:48:22.842311][debug][13416][VideoSensor.cpp:716] Stream starting! @OB_SENSOR_COLOR
[03/13 22:48:22.842338][debug][13416][Pipeline.cpp:250] Sensor stream started, sensorType=OB_SENSOR_COLOR
[03/13 22:48:22.842356][info][13416][Pipeline.cpp:252] Start streams done!
[03/13 22:48:22.842372][info][13416][Pipeline.cpp:235] Pipeline start done!
[03/13 22:48:22.950596][warning][13416][Pipeline.cpp:328] Wait for frame timeout, you can try to increase the wait time! current timeout=100
[03/13 22:48:23.184357][debug][2864][FrameBufferManager.cpp:35] New frame buffer allocated=0.879MB, total usage: allocated=0.879MB, max limit=2048.000MB
[03/13 22:48:23.184423][debug][2864][VideoSensor.cpp:505] Stream state changed to STREAM_STATE_STREAMING. @OB_SENSOR_COLOR
[03/13 22:48:23.184841][debug][2864][FrameProcessingBlock.cpp:59] FrameProcessingBlock@class libobsensor::FormatConverter process thread started!
[03/13 22:48:23.185158][debug][22912][FrameBufferManager.cpp:35] New frame buffer allocated=0.879MB, total usage: allocated=1.759MB, max limit=2048.000MB
[03/13 22:48:23.185497][debug][22912][FrameBufferManager.hpp:65] FrameBufferManager created! frame type:class libobsensor::FrameSet, obj addr:0x21f65cc4f20, frame obj total size:0.000MB
[03/13 22:48:23.185514][debug][22912][FrameMemoryPool.cpp:91] Frameset bufferManager created!
[03/13 22:48:23.185528][debug][22912][FrameBufferManager.cpp:35] New frame buffer allocated=0.000MB, total usage: allocated=1.759MB, max limit=2048.000MB
[03/13 22:48:23.185570][debug][22912][Pipeline.cpp:270] Frame received on pipeline! type=OB_FRAME_COLOR
[03/13 22:48:23.207318][info][13416][Pipeline.cpp:362] Try to stop pipeline!
[03/13 22:48:23.207352][info][13416][Pipeline.cpp:334] Try to stop streams!
[03/13 22:48:23.207376][debug][13416][VideoSensor.cpp:720] VideoSensor::stop, @OB_SENSOR_COLOR
[03/13 22:48:23.207392][debug][13416][VideoSensor.cpp:743] Stream state changed to STREAM_STATE_STOPPING. @OB_SENSOR_COLOR
[03/13 22:48:23.497523][debug][13416][VideoSensor.cpp:769] stream stoped! @OB_SENSOR_COLOR
[03/13 22:48:23.513292][debug][13416][FrameProcessingBlock.cpp:74] Process thread stoped! class libobsensor::FormatConverter@0x21f1f4a5e20 
[03/13 22:48:23.513421][debug][13416][FrameProcessor.cpp:147] FrameProcessor stoped!
[03/13 22:48:23.513471][debug][13416][VideoSensor.cpp:758] Stream state changed to STREAM_STATE_STOPED. @OB_SENSOR_COLOR
[03/13 22:48:23.513491][info][13416][VideoSensor.cpp:772] Video sensor stopped, @OB_SENSOR_COLOR
[03/13 22:48:23.513510][info][13416][Pipeline.cpp:347] Sensor stream stopped, sensorType=OB_SENSOR_COLOR
[03/13 22:48:23.513538][info][13416][Pipeline.cpp:353] Stop streams done!
[03/13 22:48:23.513569][debug][13416][FrameProcessingBlockManager.cpp:84] FrameProcessingBlockManager stoped!
[03/13 22:48:23.513585][debug][13416][FrameProcessingBlockManager.cpp:20] Processing block list cleared!
[03/13 22:48:23.513603][info][13416][Pipeline.cpp:391] Stop pipeline done!
[03/13 22:48:23.513634][debug][13416][Pipeline.cpp:65] Pipeline deInit start!
[03/13 22:48:23.513650][info][13416][Pipeline.cpp:72] Pipeline destroyed! @0x21F27E4A520
[03/13 22:48:23.513680][info][13416][AstraUvcDevice.cpp:27] Astra device destroyed! PID: 0x0636, SN: BY1N73300A2
[03/13 22:48:23.513697][debug][13416][VideoSensor.cpp:307] VideoSensor::~VideoSensor(), @OB_SENSOR_COLOR
[03/13 22:48:23.513712][info][13416][VideoSensor.cpp:336] VideoSensor destroyed, @OB_SENSOR_COLOR
[03/13 22:48:23.513776][debug][13416][VendorCommand.cpp:206] destructor 21f1edc2890
[03/13 22:48:23.513810][debug][13416][VendorCommand.cpp:452] disableHeartBeat heartBeatHelper_: 0000000000000000
[03/13 22:48:23.513827][debug][13416][HostProtocol.cpp:139] ~HostProtocol()
[03/13 22:48:23.513857][debug][11876][HostProtocol.cpp:167] emitTranDataFutureSignalThread_ finish
[03/13 22:48:23.516090][debug][13416][FrameProcessor.cpp:91] FrameProcessor destroyed! @2332684989104
[03/13 22:48:23.516322][debug][13416][Context.cpp:87] Context destroying ...
[03/13 22:48:23.516342][debug][13416][DeviceManager.cpp:59] DeviceManager destroy ...
[03/13 22:48:23.516354][debug][13416][DeviceManager.cpp:67] DeviceManager Destructors done
[03/13 22:48:23.748339][debug][13416][MfPal.cpp:125] WmfPal destroyed!
[03/13 22:48:23.748975][debug][13416][FrameBufferManager.hpp:72] FrameBufferManager destroying...! frame type: class libobsensor::FrameSet,  obj addr:0x21f65cc4f20
[03/13 22:48:23.749014][debug][13416][FrameBufferManager.cpp:54] Frame buffer released=0.000MB, total usage: allocated=1.759MB, max limit=2048.000MB
[03/13 22:48:23.749053][debug][13416][FrameBufferManager.cpp:69] AbstractFrameBufferManager destroyed! manager type:class libobsensor::AbstractFrameBufferManager,  obj addr:0x21f65cc4f20
[03/13 22:48:23.749073][debug][13416][FrameBufferManager.hpp:72] FrameBufferManager destroying...! frame type: class libobsensor::ColorFrame,  obj addr:0x21f65cc1960
[03/13 22:48:23.749091][debug][13416][FrameBufferManager.cpp:54] Frame buffer released=0.879MB, total usage: allocated=0.879MB, max limit=2048.000MB
[03/13 22:48:23.749106][debug][13416][FrameBufferManager.cpp:54] Frame buffer released=0.879MB, total usage: allocated=0.000MB, max limit=2048.000MB
[03/13 22:48:23.749120][debug][13416][FrameBufferManager.cpp:69] AbstractFrameBufferManager destroyed! manager type:class libobsensor::AbstractFrameBufferManager,  obj addr:0x21f65cc1960
[03/13 22:48:23.749135][info][13416][Context.cpp:90] Context destroyed
[03/13 22:48:23.749182][warning][11784][Pipeline.cpp:328] Wait for frame timeout, you can try to increase the wait time! current timeout=100 [**2 logs in 798ms, last: 22:48:23.168614**]
[03/13 22:48:47.620930][debug][8116][DeviceManager.cpp:112] DeviceManager  createDevice...
[03/13 22:48:47.621095][debug][8116][UsbDeviceEnumerator.cpp:289] UsbDeviceEnumerator createDevice...
[03/13 22:48:47.621150][debug][8116][AstraUvcDevice.cpp:17] AstraUvcDevice init ...
[03/13 22:48:47.621247][debug][8116][AstraUvcDevice.cpp:176] init sensor map start!
[03/13 22:48:47.621274][info][8116][AstraUvcDevice.cpp:193] init sensor map done!
[03/13 22:48:47.621288][debug][8116][AstraUvcDevice.cpp:119] createCommand start!
[03/13 22:48:47.628903][debug][8116][VendorCommand.cpp:198] VendorCommand constructor 1bc6150c860
[03/13 22:48:47.696461][debug][8116][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1000, dataLen: 164
[03/13 22:48:47.696530][debug][8116][AstraUvcDevice.cpp:172] Command has been created!
[03/13 22:48:47.727104][debug][8116][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1000, dataLen: 164
[03/13 22:48:47.727170][info][8116][AbstractDevice.cpp:124] 	- Firmware version: 1.0.22
[03/13 22:48:47.727332][debug][8116][AstraUvcDevice.cpp:313] Init depth process param start!
[03/13 22:48:47.727356][debug][8116][AstraUvcDevice.cpp:324] Astra+ long-distance version!
[03/13 22:48:47.758016][debug][8116][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1005, dataLen: 16
[03/13 22:48:47.758115][debug][8116][AstraUvcDevice.cpp:359] disparityParam: baseline: 7.466821, zpd: 129.75062561035156, zpps: 0.11178778111934662, bitSize: 12, unit: 10, packMode: 1
[03/13 22:48:47.758133][debug][8116][AstraUvcDevice.cpp:361] softFilterParam: maxSpeckleSize: 960, maxDiff: 16, filterType: 0
[03/13 22:48:47.788748][debug][8116][HostProtocol.cpp:450] get property value success! propertyId=63, cur={intValue: 1, floatValue: 1.4013e-45}, max={intValue: 1, floatValue: 1.4013e-45}, min={intValue: 0, floatValue: 0},def={intValue: 0, floatValue: 0},step={intValue: 1, floatValue: 1.4013e-45}
[03/13 22:48:47.788840][debug][8116][PropertyAccessor.cpp:34] get property value range success! propertyId: 63, range: {max: {intValue: 1, floatValue: 1.4013e-45}, min: {intValue: 0, floatValue: 0}, step: {intValue: 1, floatValue: 1.4013e-45}, def: {intValue: 0, floatValue: 0}}
[03/13 22:48:47.788878][debug][8116][HostProtocol.cpp:417] Set property value, propertyId=63, value={intValue: 0, floatValue: 0}
[03/13 22:48:47.819516][debug][8116][PropertyAccessor.cpp:17] set property value success! propertyId: 63, value: {intValue: 0, floatValue: 0}
[03/13 22:48:47.850248][debug][8116][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1001, dataLen: 136
[03/13 22:48:47.871696][debug][8116][HostProtocol.cpp:417] Set property value, propertyId=63, value={intValue: 1, floatValue: 1.4013e-45}
[03/13 22:48:47.896947][debug][8116][PropertyAccessor.cpp:17] set property value success! propertyId: 63, value: {intValue: 1, floatValue: 1.4013e-45}
[03/13 22:48:47.927736][debug][8116][PropertyAccessor.cpp:50] get firmware data success! propertyId: 1001, dataLen: 136
[03/13 22:48:47.950574][info][8116][AstraUvcDevice.cpp:402] Init depth process param done!
[03/13 22:48:47.950799][info][8116][AstraUvcDevice.cpp:23] Astra device created! PID: 0x0636, SN: BY1N73300A2
[03/13 22:48:47.950824][debug][8116][UsbDeviceEnumerator.cpp:338] Device created successfully! Name: Astra+, PID: 0x0636, SN/ID: BY1N73300A2
[03/13 22:48:47.950855][info][8116][DeviceManager.cpp:157] Device created successfully! Name: Astra+, PID: 0x0636, SN/ID: BY1N73300A2
[03/13 22:48:47.957889][debug][8116][FrameProcessor.cpp:70] FrameProcessor init with 1 blocks! @1908598161536
[03/13 22:48:47.957975][debug][8116][FrameProcessingBlock.cpp:26] Block created with frame queue size: 10
[03/13 22:48:47.958002][debug][8116][FrameProcessor.cpp:78]  - block: FormatConverter, status: disable
[03/13 22:48:47.958036][debug][8116][VideoSensor.cpp:267] VideoSensor construct!
[03/13 22:48:47.958076][debug][8116][VideoSensor.cpp:303] VideoSensor created, @OB_SENSOR_COLOR
[03/13 22:48:47.958098][info][8116][AstraUvcDevice.cpp:276] Color sensor has been created!
[03/13 22:48:48.055363][debug][8116][PropertyAccessor.cpp:17] set property value success! propertyId: 2000, value: {intValue: 1, floatValue: 1.4013e-45}
[03/13 22:48:48.055570][debug][8116][Pipeline.cpp:29] Pipeline init ...
[03/13 22:48:48.055621][debug][8116][Pipeline.cpp:165] loadFrameQueueSizeConfig() config queue size: 10
[03/13 22:48:48.055654][info][8116][Pipeline.cpp:44] Pipeline created with device: {name: Astra+, sn: BY1N73300A2}, @0x1BC63B5BBA0
[03/13 22:48:48.057248][debug][8116][VideoSensor.cpp:448] Query stream profile! size= 95, SensorType=OB_SENSOR_COLOR
[03/13 22:48:48.057280][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 640, height: 480, fps: 30}
[03/13 22:48:48.057297][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 640, height: 480, fps: 30}
[03/13 22:48:48.057310][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 640, height: 480, fps: 15}
[03/13 22:48:48.057369][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 640, height: 480, fps: 15}
[03/13 22:48:48.057386][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 640, height: 480, fps: 10}
[03/13 22:48:48.057401][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 640, height: 480, fps: 10}
[03/13 22:48:48.057414][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 640, height: 480, fps: 7}
[03/13 22:48:48.057427][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 640, height: 480, fps: 7}
[03/13 22:48:48.057440][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 320, height: 240, fps: 30}
[03/13 22:48:48.057452][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 320, height: 240, fps: 30}
[03/13 22:48:48.057465][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 320, height: 240, fps: 15}
[03/13 22:48:48.057478][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 320, height: 240, fps: 15}
[03/13 22:48:48.057490][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 320, height: 240, fps: 10}
[03/13 22:48:48.057503][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 320, height: 240, fps: 10}
[03/13 22:48:48.057515][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 320, height: 240, fps: 7}
[03/13 22:48:48.057528][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 320, height: 240, fps: 7}
[03/13 22:48:48.057541][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 800, height: 600, fps: 30}
[03/13 22:48:48.057553][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 800, height: 600, fps: 30}
[03/13 22:48:48.057566][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 800, height: 600, fps: 15}
[03/13 22:48:48.057579][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 800, height: 600, fps: 15}
[03/13 22:48:48.057591][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_NV12, width: 800, height: 600, fps: 10}
[03/13 22:48:48.057604][debug][8116][VideoSensor.cpp:450]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_MJPG, width: 800, height: 600, fps: 10}
